Question,Answer
"How, when you’re sitting at the desk, how do you make decisions? I mean do you agonize over them, do you second guess yourself? How does –"," I don’t think about it, I don’t think about, you know, how I make them. I make what I consider the right decision, I have great people working at the White House, they don’t get enough credit. I have some tremendously talented people and I will talk to them and sometimes I’ll have them go at each other, I do like that, you know let them go at each other. And they do. They’ve very competitive people and at the end I make a decision and it’s certainlyon the economy, a lot of things we’ve beenwe’ve made a lot of good decisions and I want to keep it that way."
Do you ever second guess yourself? Do you ever ," Yes, oh, all the time."
Toughest decision you’ve had to make as President?," Well, I think North Korea’s been very tough because you know we were very close. When I took that over President Obama right in those two chairs, we sat and talked and he said that’s by far the biggest problem that this country has. And I think we had real decision as to which way to go on North Korea and certainly at least so far I’m very happy with the way we went. I have a very good relationship with –"
Even though there was talk that they putting up new sites? ," Maybe they are, maybe they’re not, I don’t believe that, I don’t. And you know could which isif that’s the way it goes, that’s the way it goes. You know, I go with the way we have to go but so far it’s been good, we have a very good relationship. We’ve made I think some great decisions for the people of this country and I do, you know I put America first and other countries should put themselves first. It’s not like we should putand everybody else should be second to us, no. Other countries are proud of their countries and their leadership put their countries first. But we were putting our country in many cases last. We were more worried about the world than we were worried about the United States, that’s not going to happen with me. "
 Do you still think that climate change is a hoax?," I think something's happening. Something's changing and it'll change back again. I don't think it's a hoax, I think there's probably a difference. But I don't know that it's manmade. I will say this. I don't wanna give trillions and trillions of dollars. I don't wanna lose millions and millions of jobs. I don't wanna be put at a disadvantage."
" I wish you could go to Greenland, watch these huge chunks of ice just falling into the ocean, raising the sea levels.", And you don't know whether or not that would have happened with or without man. You don't know.
" You know, I I was thinking what if he said, No, I've seen the hurricane situations, I've changed my mind. There really is climate change. And I thought, Wow, what an impact.", Well I'm not denying.
" Yeah, but what about the scientists who say it's worse than ever?"," You'd have to show me the scientists because they have a very big political agenda, Lesley."
" the Saudi journalist, was he murdered by the Saudis? And did the prince give the order to kill him?"," Nobody knows yet, but we'll probably be able to find out. It's being investigated. It's being looked at very, very strongly. And we would be very upset and angry if that were the case. As of this moment, they deny it. And den deny it vehemently. Could it be them? Yes."
" Jared, your son-in-law. Got on the phone and asked the prince. Did he deny it? Did he "," They deny it. They deny it every way you can imagine. In the not-too-distant future, I think we'll know an answer."
" What are you options? Let's say they did. What are your options? Would you consider imposing sanctions, as a bipartisan group of senators have proposed?"," Well, it depends on what the sanction is. I'll give ya an example. They are ordering military equipment. Everybody in the world wanted that order. Russia wanted it, China wanted it, we wanted it. We got it."
 Tell everybody what's at stake here.," Well, there's a lot at stake. There's a lot at stake. And maybe especially so because this man was a reporter. There's something you'll be surprised to hear me say that. There's something really terrible and disgusting about that, if that were the case. So we're gonna have to see. We're going to get to the bottom of it and there will be severe punishment."
" You've had a string of wins lately. Let's see, the economy, the trade deal", Right.
 What about North Korea? Talking about ," Well, I consider it a, so far, great achievement. Look, we "
 You say so far?," It's always so far, til everything's done. I I you know, deals are deals, okay? Whether it's a real estate deal or a retail deal, it doesn't matter. But I will say this. The day before I came in, we were goin' to war with North Korea. I sat with President Obama "
 We were goin' to war?," and we were gonna I think it was going to end up in war. And my impression is and even in my first few months, I mean, that rhetoric was as tough as it could possibly get. Doesn't get any tougher than that. Nobody's ever heard rhetoric that tough. We were going to war with North Korea. Now, you don't hear that. You don't hear any talk of it. And he doesn't wanna go to war, and we don't wanna go to war, and he understands denuclearization and he's agreed to it. And you see that, he's agreed to it. No missiles."
 Do you trust him?," I do trust him, yeah, I trust him. That doesn't mean I can't be proven wrong "
 you trust him?," Well, first of all, if I didn't trust him, I wouldn't say that to you. Wouldn't I be foolish to tell you right here, on 60 Minutes "
" What? That they're still building missiles, more missiles?"," We don't really know, Lesley. We really don't know. But I assume "
 Suspect that?," Let's say the answer is yes, okay? In the meantime, they haven't tested a missile. They haven't tested a rocket. They definitely haven't done a nuclear test because you know about them real fast. It sort of moves the earth. And we have a relationship now."
 One of the things that Kim has asked for is for you to ease the sanctions., We haven't done that.
 Are you prepared to do that? What what does he have to do ," No, No."
" I know, but why do you love that guy?"," Look, look. I I I like I get along with him, okay?"
 But you love him., Okay. That's just a figure of speech.
" No, it's like an embrace."," It well, let it be an embrace. Let it be whatever it is to get the job done."
 He's a bad guy., Look. Let it be whatever it is. I get along with him really well. I have a good energy with him. I have a good chemistry with him. Look at the horrible threats that were made. No more threats. No more threats.
 Gonna do more?, Might. Might.
 Round three? ," They wanna negotiate, Lesley. They wanna negotiate."
 How much squeezing of them are you prepared to do when American products are gonna be more expensive for American consumers in the end of all this?," Okay. Okay. So, so far, that hasn't turned out to be the case."
 Are you trying to sort of push them into a depression?," No no, although they're down 32 percent in four months, which is 1929."
 You have also slapped some tariffs on our allies.," I mean, what's an ally? We have wonderful relationships with a lot of people. But nobody treats us much worse than the European Union. The European Union was formed in order to take advantage of us on trade, and that's what they've done."
 It sounds hostile., You know what's hostile? The way they treat us. We're not hostile.
 Are you willing to get rid of that Western alliance?," Now, I like NATO, NATO's fine. But you know what? We shouldn't be paying almost the entire cost of NATO to protect Europe. And then on top of that, they take advantage of us on trade. They're not going to do it anymore. They understand that."
" Okay, but are, it does seem this, are you willing to disrupt the Western Alliance? It's been going for 70 years. It's kept the peace for 70 years.", You don't know that. You don't know that.
 What's not true?," Frankly, I like General Mattis. I think I know more about it than he does. And I know more about it from the standpoint of fairness, that I can tell you."
" Okay, people don't understand why you never have a harsh word for Vladimir Putin."," Okay, you ready?"
 I don't understand it., I have been you don't know what I talked about with Putin in the meeting prior to the press conference 
 Do you agree that Vladimir Putin is involved in assassinations? In poisonings?," Probably he is, yeah. Probably. I mean, I don't "
 Why not they shouldn't do it. This is a terrible thing., Of course they shouldn't do it-
 do you believe that the Russians interfered in the 2016 campaign election? Our election-, They they meddled. But I think China meddled too.
 You are diverting the whole Russia thing., I'm not doing anything.
" What about the attorney general, Jeff Sessions?"," Well, we'll see what happens come midterms. But "
 Can I assume he's gone?, No. No. You can't assume that.
 Will you. Will you pledge pledge that you will not shut down the Mueller investigation?," Well, I I don't pledge anything. But I will tell you, I have no intention of doing that. I think it's a very unfair investigation because there was no collusion of any kind."
" So you've been president for almost two years. Is there anything that you wish you hadn't said, anything you wish you hadn't done? Do you have any regrets?"," So when I won the presidency, I th I I the press treats me terribly. I thought very strongly that, you know, the one great thing will happen is the press will start treating me great. Lesley, they treat me worse. They got worse instead of better. Very dishonest."
 Have you made any mistakes? That's my question., Everybody makes mistakes.
 And what have been yours?," I could have been earlier with terminating the NAFTA deal. The problem was, I was getting to know the leaders. I was getting to know countries. I didn't wanna do it right outta the box. So I waited a little while, but I could have done trade a little bit earlier."
 So are you gonna go back to that?," Well, we're looking at a lot of things. Really what we wanna do is change the immigration laws, 'cause they were they were a laughing stock all over the world."
 Are you willing though I think that you're saying you're it's under consideration.," No, I want all the laws changed."
" Are you willing to reinstitute that policy? You said, We're looking at everything.", I will 
" Okay. Changing subjects again you are the first president of the United States who never had a political post before, nor never served in the military. You come up here, you've been here for almost two years, what's the biggest surprise and what have you learned since you've been president?"," Okay. So I always used to say the toughest people are Manhattan real estate guys and blah, blah. Now I say they're babies."
 Who's the toughest?," They're babies, the political people. This is the most deceptive, vicious world. It is vicious, it's full of lies, deceit and deception. You make a deal with somebody and it's like making a deal with that table."
 Give me an example.," Well, I don't wanna give you an example. I'm not lookin' to in the meantime, nobody's been able to do what I've been able to do. Remember that. When you look at taxes, you look at regulations, you look at making deals with other countries. Nobody's been able to do anything like this. Actually, most people didn't even try because they knew they didn't have the ability to do it. But it's a very deceptive world. The other thing I've really learned is I never knew how dishonest the media was. I I and I really mean it. I'm not saying that as a sound bite. I never "
" You won. And then after you won, instead of saying, Oh, let's all come together, this is wonderful. Let's heal all of this, you come out and bash the Democrats."," Well, I bashed their attitude. I bashed their statements "
 Do you think you treated her with respect?," I think so, yeah. I did."
 More people gonna go?," Yeah, other people will go, sure."
 Who are you not happy with?," No, I don't wanna say that but"
 What about General Mattis? Is he going to leave?," Well, I don't know. He hasn't told me that. I have "
" The first lady, Melania. She said that there are still people in the White House that she doesn't trust and that you shouldn't trust."," I feel the same way. I don't trust everybody in the White House, I'll be honest with you."
 It takes a president a while to find his sea legs.," I think so. I mean, I felt comfortable at the beginning, other than it was a little surreal to say I'm the president of the United States, but I think that's true with everybody."
 And you feel comfortable?," I feel very comfortable, yeah."
"What did the crown prince tell you today, exactly, and what is your intelligence telling you?","Well, I just put this out, I guess you saw it. I just have it here. I spoke to the crown prince, so you have that. He said he and his father knew nothing about it. And that was very important. And I spoke to him with Mike Pompeo there. And the crown prince. I spoke to the king yesterday, the crown prince, today wanting to know what was going on, what was happening, and he said very strongly that he and his father knew nothing about it but they are starting a major, they've already started a major investigation to find out. And so the answers will be forthcoming."
Did they raise this idea of rogue killers in any of those conversations?,"Well, the concept of it, I guess. Yesterday, when I spoke with the father, not so much today, but when I spoke to the father, it just sounded to me like he felt like he did not do it. He did not know about it and it sounded like, you know, the concept of rogue killers. But I don't know. I think the investigation will lead to an answer. And they're going to do a very thorough investigation. I believe they're working with Turkey."
But he didn't bring up that? That was something you came up with after the conversation?,"Just the concept of it. No, that was just from my feeling of the conversation with the king, not with the crown prince but with the king."
"Do you believe, sir, do you believe the king and the crown prince? I mean do you find them ... do you find them sort of trustworthy here? And there's been a lot of talk, including from Sen. Graham, who I know is an ally of yours in many ways, that this is the moment that perhaps the U.S. relationship with Saudi Arabia should be re-evaluated, that things should be done differently going forward. What do you think of that?","Well, I think we have to find out what happened first. You know, here we go again with, you know, you're guilty until proven innocent. I don't like that. We just went through that with Justice Kavanaugh. And he was innocent all the way. So I was unconcerned. So we have to find out what happened and they are doing a very major investigation. So is Turkey. Plus, they're putting themselves together and doing it. And hopefully they'll get to an answer as to what happened. But I will say they were very strong in their denial about themselves knowing."
Did they give you any sense of the timetable?,I would say within a week. That's my impression. He said two weeks. But they're going to try and do it in less than a week.
"So moving to the midterms, you're hitting the road for Republicans, obviously.",A little bit.
"So my question is, if Republicans were to lose control of the House on November 6th — or a couple of days later depending on how long it takes to count the votes — do you believe you bear some responsibility for that?","No, I think I'm helping people. Look, I'm 48 and 1 in the primaries, and actually it's much higher than that because I endorsed a lot of people that were successful that people don't even talk about. But many of those 48, as you know, were people that had no chance, in some cases. We look at Florida, you look at Donovan in Staten Island. He was losing by 10 points, I endorsed him and he won. I could give you a long list of names. Look at Georgia governor of Georgia. And many, many races. And I will say that we have a very big impact. I don't believe anybody's ever had this kind of an impact. They would say that in the old days that if you got the support of a president or if you've got the support of somebody it would be nice to have, but it meant nothing, zero. Like literally zero. Some of the people I've endorsed have gone up 40 and 50 points just on the endorsement."
"Along those lines, in the days before the actual vote was held, former President George W. Bush made a number of calls of senators also sort of lobbying on Kavanaugh's behalf. Does he deserve any of the credit here? Have you spoken to him, have you given him a thank you for that?","I did speak with him, I did. No, I didn't say thank you, per se. But I did speak to him before it and we had a great conversation about Kavanaugh, what an outstanding person he is, which is what he told me. And we had a very pleasant conversation, a very good conversation."
"There are a number of phone calls that you got from folks in that critical period. Did you hear from anyone who serves in the Supreme Court who serves alongside now, the justice?","No, I didn't. Nobody called from the Supreme Court. It's a very august body. It's a group of people that, once you're elevated to that level, you really tend to be in a different place, in a different world. No, I didn't, I never got a call. As an example, I did not get a call from Justice Gorsuch, who would be the most likely, or Justice Thomas. Or Alito. I've got no calls."
Are you prepared for what will happen to your presidency if the Democrats do take back the House?,Sure.
"How will you handle investigations, impeachment prospects?","I think I'll handle it very well. I'm handling already. We have a witch hunt now going on, and I handle it very well, and there was no collusion. Everyone knows it. It's ... People laugh. People are laughing at the concept of it."
What if they go after your tax returns? ,"They have to do whatever they do, and I'll do whatever I do. But I've had the most successful two years. I would say, without question, first two years of office, I've had the most successful two years in the history of this country as a president. And we're not even close, actually, if you think about it. It's not until Jan. 20 so we're not even really close to two years. And, would get me the list? Would you get me the list, please?"
Do you think you have the legal team necessary?,"I have the most successful. Nobody has done what I've done, and nobody has come close in the first two years of office. And that's despite the fighting, the Democrats' obstruction."
"On another topic: Michael Cohen was your personal attorney for many years. He testified under oath in federal court that you directed him to commit a crime. Did you, sir?",Totally false. It's totally false.
So he's lying under oath?,"Oh, absolutely he's lying. And Michael Cohen was a PR person who did small legal work, very small legal work. And what he did was very sad, when you look. By the way, he was in trouble not for what he did for me; he was in trouble for what he did for himself. You do know that? Having to do with loans, mortgages, taxicabs and various other things, if you read the paper. He wasn't in trouble for what he did for me; he was in trouble for what he did for other people. He represented me very little. It's a very low level. And what he was is also a public relations person. And now if he wants to try and get a little bit lighter sentence for what he did ... Totally uninvolved. I wasn't involved and he had other clients, No. 1. And No. 2, he was a contractor to a large extent. But Michael Cohen, if you take a look at what he did, this had to do with loans, and I guess the taxi industry is something that I have nothing to do with, he did this on his own time."
"Sir, as the president of the United States, is it appropriate to call a woman, and even one who is making serious allegations and who you are in litigation against, to call her a horseface?",You know what? You can take it any way you want.
How should we take it?,"Did you see the letter? She put out a letter. I had nothing to do with her. So she can lie and she can do whatever she wants to do. She can hire a phony lawyer. You take a look at this guy, a stone-cold loser. Take a look at his past. They can say anything about me. I'm just saying, I just speak for myself. You take a look, and you make your own determination."
"There's two cases with Stormy Daniels aside from the one yesterday that the judge invalidated, but the hush-deal case continues. Did you ask the lawyer to invalidate the agreement?","Well, you'd have to speak to the lawyers. I don't even know what the lawyers are doing, but they are very good lawyers. They'll figure it out."
"In your interview with '60 Minutes' over the weekend, you were asked about climate change, and you said you believe it, but that also, it could go back. ","I said the worst hurricane was 50 years ago, far worse than what this one was. Then, in 1890, they had one that was even worse. This was No. 3 or 4 or 5. We had worse hurricanes in 1890, we had worse, a worse hurricane 50 years ago. We've gone through a period, actually, fairly recently, where we have very few. I live in Florida to a large extent and spend a lot of time in Florida, and we had a period of time where we went years without having any major problem. And then you have a problem and it goes in cycles, and I want absolutely crystal clear water and I want the cleanest air on the planet and our air now is cleaner than it's ever been. Very important to me. But what I'm not willing to do is sacrifice the economic well-being of our country for something that nobody really knows. And you have scientists on both sides of the issue. And I agree the climate changes, but it goes back and forth, back and forth. So we'll see."
But scientists say this is nearing a point where this can't be reversed.,"No, no. Some say that and some say differently. I mean, you have scientists on both sides of it. My uncle was a great professor at MIT for many years. Dr. John Trump. And I didn't talk to him about this particular subject, but I have a natural instinct for science, and I will say that you have scientists on both sides of the picture."
"Sir, you mentioned, you mentioned more than once that your inclination is not to interfere with the Department of Justice as the special counsel probe continues.","Well, the probe is ridiculous. OK. That that probe was even started. Jeff Sessions should have never recused himself. He did it for ... and he did it immediately. He should have told me that. And he recused himself. And even people that are not my friends say that was a horrible thing that he did to the president, a horrible thing. He should be ashamed of himself for doing it. He should have told me that beforehand. And if he would have told me that beforehand, I probably would have put somebody else in the Department of Justice. But Jeff Sessions should never have recused himself."
"I mean, you can fire him now. Would you want to do that? Will you do that?",I haven't said I was going to fire him or not.
The special counsel has submitted written questions to your lawyers. Have you read those questions? Have you been involved in drafting the response?,"I won't respond, but you're right — we are looking at certain questions having to do with the word collusion. Of course there was no collusion. So we are looking at that, and we'll make a determination."
There are children who have now been reunited with their families who are now showing signs of trauma from their separation experience.,"By the way, many of the children — and this is unfortunate, I covered it so nicely on '60 Minutes,' but they only put on pieces of it, and they were fine but you know they cut, cut, cut because I guess they have so much time, although I heard that they did very nicely on the show. Did they do well?"
"Do you have any regrets or any remorse about how this has impacted children, though?","Here's the thing. I think we've done an incredible job with children. As I just said, we've taken children who have no parents with them standing on the border. We've taken many children, and I'm not talking about a small percentage, I'm talking about a very large percentage where they have no people, no parents. In addition to that, we're separating children who are just met by people that are using them coming into the border, not their parents. They are using them coming into the border. The one thing I will also say is that when a person thinks they will not be separated, our border becomes overrun with people coming in. So that's another problem. With all of that being said, we're getting the laws changed so that catch and release, so that visa lottery, so that chain migration and every other form of incredible stupidity can be taken out of our system."
"But today there are more American troops serving in Afghanistan and in Syria and Iraq, in Africa, in harm's way than when you took office. How do you explain to people at home?","The main thing I have to see is, I have to see safety at home and — not a vast difference, by the way — but a little bit more. But it's not a lot more, it's a little bit more. I have to see safety at home. And if I think people are likely to do some very bad things in faraway places to our homeland, I'm going to have troops there for a period of time. But we've done an excellent job. We've defeated ISIS. ISIS is defeated in all of the areas that we fought ISIS, and that would have never happened under President Obama. In fact, it is going the other way. And I think we fought extremely effectively on everything I've wanted to do. Now there will be a certain point where that takes place."
"John Bolton, though, told us, told my colleague Jon a couple of weeks ago that troops aren't going to come out, aren't going to leave Syria, until Iran is fully out of Syria.","We're going to see what happens. We're going to see what happens. I want, No. 1, the safety of our country. And if that means knocking the hell out of them, of terrorists, long before they can ever get here, that's OK with me. And if I could help Europe and other places by doing it, that's OK with me. And they're starting to pay us for that, by the way, much more substantially than they ever paid before. You understand that's an important thing because it's unfair that the burden is all on us. As it has been. But we are ... we've made ... we've had tremendous success there. We've had tremendous success in North Korea, tremendous success in North Korea."
"On the subject of American soldiers and military overseas, why have you not yet visited a military base in a combat zone like in Iraq and Afghanistan?","Well, I will do that at some point, but I don't think it's overly necessary. I've been very busy with everything that's taking place here. We have the greatest economy in the history of our country. I mean, this is the greatest economy we've ever had, best unemployment numbers. Many groups are, you know, we've never even been close to these numbers. I'm doing a lot of things. I'm doing a lot of things. But it's something I'd do. And do gladly. Nobody has been better at the military. Hey, I just got them a pay raise. I haven't had a pay raise in 11 years. I just got them a substantial pay raise. 'They' meaning our military people. I just got them new equipment. They have stuff that was so old that the grandfathers used to fly it. I have done more for the military than any president in many, many years."
Can you give us any update as to the plans for your next meeting with Kim Jong Un?,"Yeah, we will have one, but it is going to be after the midterms because I want to stay around here."
"Will it be here, in the United States, sir?",I want to stay around and help people get elected.
Do you think that meeting would be here? In the U.S.?,"No, I don't think so. I mean, we haven't set it up yet, but I would think not yet. At some point, that will happen, too."
You've spoken about security clearances. Do you have any plans to take any more clearances away any time soon?,"Yeah, I do."
From whom?,People I don't trust.
Any updates on the White House counsel?,"Yes. I've made a decision. He's ... you've been reading a little bit about it. A very fine man, highly respected by a lot of people: Pat (Cipollone)."
And for the U.N. perm rep? For Ambassador Haley's job? Have you made a decision?,"I have many people that want the job. I have such a good relationship with Nikki. And I've talked to her about it, too. I will be talking to her about it. But I have many people that want the job, and I would say I'll be making that decision over the next week or two. They're going to work with Nikki for a little while. She going to go till the end of the year, and they'll be working with Nikki."
"You've been very critical, the last year or so, of the NFL. This year, actually, rating are up a little bit. What do you make of that? What does that say about ...?","Hey, look, I did the NFL a big favor. You know that, right?"
Do you plan to pardon Paul Manafort?,"I never even was asked about it. I haven't thought about it. But, you know, I think it's a very sad, sad situation. And there's another thing that had nothing to do with me. That was from years before. You do understand that, right? Do you understand that? Do you know these Russian hackers you're talking about from Moscow? They have nothing to do with me. How many people are they? Only 28 people? They have nothing to do with me. They were hackers from Moscow. Some of them supported Hillary Clinton. They had nothing to do with me. You look at all the stuff, it's just nothing to do with me."
"Knowing what you know today, is it still appropriate for Secretary Mnuchin to be going to Saudi Arabia next week?","Well, it depends on what we find out over the next couple of days. He doesn't have to make that determination until Friday, and I think we'll also be guided by what other countries are doing. You know, we'll look at that."
What's your responsibility?,"I do think this. I do think that they have ordered billions, one of the largest military orders in the history of the country. I think that we hurt ourselves far more than we hurt Saudi Arabia when we cancel an order like that."
"You've seen American business leaders, though, pull out of that conference. Do you endorse that move?","Too early to say. I have to find out what happened. Once they find out what happened, I'll be able to tell you exactly."
"Would you only serve one term, Mr. President, if you felt like you had done everything you set out to do?","No. Because the other term ... first of all, there's always things to do. Actually, it's a very nice question because I have done so much. People have said that, 'You've done so much. You may have it all put back together. And our country: Make America Great Again.' And they do ask me that question. So if you do all of the things that you're doing and you're given another two years, which is a lot of time because I've done this in far less than two years, and those papers pretty much say it, they do ask that question. There's always something to do. And you know, the new motto is Keep America Great. I don't want somebody to destroy it because I can do a great job. But the wrong person coming in after me sitting right at this desk can destroy it very quickly, if they don't do the right thing. So no I'm definitely running."
Is there someone in particular you'd like to run against?,"So far, all of them. So far, all of them. I don't see any talent. No talent."
No one you're worried about?,I see no talent.
Vice President Biden? Or Sen. Warren? Or anyone?,"Well, Biden ran twice and actually a lot of people think he really ran a third time, but he was so low in the polls that he never registered. But he ran twice. And I call him One Percent Joe because you know he did very poorly and then Obama took him off the trash heap and made him vice president. And in a sense he did a good job as vice president, in my opinion, because Obama liked him, and if President Obama didn't like him, you would have been hearing about it. So in that sense, he, I think, he did actually a nice job because the president of the United States felt very comfortable about him. Like, I like my vice president very, very much. That's an important function."
"Thank you very much, Mr. President.",Thank you all.
Why are you disappointed in the DHS secretary and is John Kelly going to be staying in his job right now?,"So, you know, always in an administration after the midterms you make changes, so, I’m looking at things and I’ve got a lot of options. A lot of people want to come in. A lot of politicians that have had very successful careers that are very good want to come in. So I’m looking at things haven’t made a decision yet. I will be making a decision on Homeland shortly."
"Sure. Could you tell us where your thinking is currently on the attorney general position? I know you’re happy with Matthew Whitaker, do you have any names? ","Matthew Whitaker is a very respected man. He’s and he’s, very importantly, he’s respected within DOJ. I heard he got a very good decision, I haven’t seen it. Kellyanne, did I hear that?"
Are you confident that you’re going to win the court case?,"I don’t know, I think that we should. Certainly, you shouldn’t be able to go up into a White House and, on principle, it’s very disrespectful to the rest of the press. You were actually getting up to do a question."
"Sir, right now, in 2010 we saw several pieces of major legislation passed in a lame-duck Congress. What can we expect your and the Republican agenda to be in this Congress? Is it going to be an immigration fix? What about criminal justice reform? What are the two to three things you’re looking at?","We’re working on many things. Criminal justice reform we’re working on very hard. We have a meeting today, do you know about that? We have a meeting today."
"Just one second, sir, on that criminal justice bill. Is that the Jared Kushner-backed bill that you want to focus on?","The answer is I’m looking at it very closely, okay? I am. It’s a good thing. You know, Texas is backing it, if you look at Mississippi and Georgia and a lot of other places, they believe in it, those governors, and they’re conservative people. Rick Perry’s a big fan."
"What about immigration, sir? Are you willing to shut down the government if you don’t get a certain set of policies?","I may be. I may be. I’ll have to see how it plays out. But I may very well be willing to shut down the government. I think it’s horrible what’s happening and, you know, building the wall, it’s in smaller stages, we can build it very quickly. I’m building the wall in smaller stages and we moved the military there, we put up barbed wire, we did all sorts of things. You have to have a barrier. You have to have a barrier."
"While we’re on the subject of Congress, I do want to get does Kevin McCarthy have your full endorsement in the speaker’s race?","Well, I didn’t endorse because I stay out of it, but I like Kevin a lot and I like Jim [Jordan] a lot. I like both of ’em."
How would you like them to work it out?,"Who else is running, nobody, right?"
Would you like to see Jim on the ranking member on Judiciary?,"I would like to see Jim in a high position ’cause he deserves it. He’s fantastic, but I haven’t gotten into the endorsement or not. I just like both of ’em too much, too much to get very much involved. It’s something I shouldn’t be involved in. But Jim is a fantastic guy and Kevin is a fantastic guy and they’re very different and they complement each other."
Is she behaving criminally and should she be removed?,"Look, you know, the bottom line it’s, she’s a disaster. You look at her past, she’s a disaster. Even with me. I won Florida and, you remember? That area, Broward, didn’t come in. It didn’t come in. I think Palm Beach was like they wouldn’t call Florida, I won. Then it got to a point where I won by enough that all the votes of the people that lived there would, you know, in other words you can only put in so many votes, although she may change that system."
"You think they should call Florida right now, sir?","Uh, I think they should’ve called Florida election evening. Well, many votes were added to that, and, you know what’s going on. And now they have mixed them up. You said it better than I did. They mixed the votes up and now you can’t find the ones that were put in, they just put ’em into a batch."
Should she be removed from office?,"Oh, she should have been removed I think she should have been removed in the middle of this mix-up."
How do you prevent this in 2020? From happening when you run for re-election?,"First thing you do is fire her and her cronies. You get ’em out of you get ’em out. And it should have been done, I mean, if there’s anything really that I would be because, again, in the 2016 election, you guys remember, remember how long it took to get Florida?"
So you support the cities giving them tax breaks?,"Well, I think they’re giving up a lot. They’re very expensive deals. Only time will tell. Maybe Amazon will have massive competition and they won’t be the same company in five years, in which case it will be a big mistake. You know, Amazon could have I see Walmart is doing very well and others are building sites. I think that’s going to be a very competitive business someday, Amazon. And I’m not sure that size necessarily helps when you get —"
Do you still think they’re cheating the U.S. postal system?,"Oh, I think they’re getting the bargain of the century. I think that Amazon’s getting and that’s why I’ve asked for a review of that. And others too, you know, not just Amazon. There are classes of companies that are getting the bargain and I think that I may be wrong about this, you’ll check but I think the contract they signed with Amazon was a closed contract. You can’t even see it. It was a sealed contract."
"How do you think the police should handle Antifa, generally?","These people, like the Antifa you’re talking about, the Antifa they better hope that the opposition to Antifa decides not to mobilize. Because if they do, they’re much tougher. Much stronger. Potentially much more violent. And Antifa’s going to be in big trouble. But so far they haven’t done that, and that’s a good thing. But they better hope that the other side doesn’t mobilize, you understand what I’m saying. Because if you look, the other side is the military, it’s the police, it’s a lot of very strong, a lot of very tough people. Tougher than them. And smarter than them. And they’re sitting back and watching and they’re getting angrier and angrier."
What’s your takeaway from the 2018 election and what do you think that means for 2020 for you? ,"I think I did very well. Because if you look at Obama was 60-something odd House seats and lost seven Senate seats. So we picked up three or four Senate seats depending on how it all goes it’s a big pickup. In fact, they say in 80 years I think the presidential party’s only picked up two Senate seats, I picked up three. I mean, assuming that they don’t do any further shenanigans in Florida."
